colloc_word_value	colloc_word_id	colloc_lexeme_id	delete_colloc_lexeme_ids
buss teenindab	2073812	3276866	3205115
bussi istuma	2086104	3289158	2984784
bussijuht kihutab	1781798	2984850	3293519
bussiliini teenindama	2073826	3276880	2984918
bussipeatuse kiosk	2084553	3287607	3051983
bussipeatuses istuma	2086245	3289299	2984953
bussis istuma	2086128	3289182	2984788
bänd tegutseb	2067771	3270825	2985088
bändi produtsent	2079864	3282918	2985145
bändiga ühinema	2068104	3271158	2985125
bürokraatlik keel	1782199	2985252	3278428
defektide diagnostika	1782433	2985486	3276884
deklaratsiooni vastuvõtmine	1782567	2985620	3278987
deklaratsioonis rõhutama	1782561	2985614	3277837
delegatsioon tutvub	2017371	3220424	3287852
dementne vanur	2075614	3278668	3238601
demograafilised näitajad	2089147	3292201	2985862
demokraadid ja liberaalid	2090857	3293911	3087136
demokraatiat ohustama	1782889	2985942	3279760
depressiooni ravima	2089343	3292397	2986119
detailne eelarve	1783210	2986263	3268354
devalveerimine ohustab	1783263	2986316	3279783
diabeedi diagnoos	2073880	3276934	2986370
diabeet ohustab	1783292	2986345	3279789
diabeeti ravima	2089386	3292440	2986353
diagnoos ja ravi	2073874	3276928	3163423
diagnoos puudub	2073850	3276904	2986404
diagnoos põhineb	2073841	3276895	2986402
diagnoos selgub	2073837	3276891	2986401
diagnoosi kinnitama	2073847	3276901	2986407
diagnoosi kinnitus	2073846	3276900	2986416
diagnoosi määrama	2073842	3276896	2986406
diagnoosi panek	2073843	3276897	2986415
diagnoosi panema	2073839	3276893	2986405
diagnoosi püstitama	2073857	3276911	2986410
diagnoosi saama	2073852	3276906	2986408
diagnoosi teatama	2073873	3276927	3204416
diagnoosi täpsustama	2073855	3276909	2986409
diagnoosi täpsustamine	2073836	3276890	2986414
diagnooside arv	2073853	3276907	2986417
diagnoosiks määrama	2073848	3276902	2986413
diagnoosiks saama	2073844	3276898	2986412
diagnoosima ja ravima	2089293	3292347	3163628
diagnostika ja ravi	1960366	3163419	3276886
diagnostika ja teraapia	2005557	3208610	3276887
difteeriavastane vaktsineerimine	2080643	3283697	3235258
diiselmootoriga auto	1778762	2981814	3283414
diivanil istuma	2086107	3289161	2986667
diivanile istuma	2086111	3289165	2986661
diplomaatiline numbrimärk	2088455	3291509	3122749
diplomaatiline vastuvõtt	2085771	3288825	3241369
direktor ja õpetajad	2053427	3256481	3266633
doktor ravib	2089309	3292363	2987587
doktorandi juhendaja	1784569	2987622	3292751
doktoritöö juhendaja	1784629	2987682	3292754
doktoritöö valmib	2062870	3265924	2987667
doktoriõppes õpinguid jätkama	2075861	3278915	2987696
dokumendi number	2087160	3290214	2987795
dokumendid ja rahakott	2081180	3284234	3160077
dokumendid ja registrid	2070848	3273902	3164705
dokumendis rõhutama	1968158	3171211	3277808
dokumentaalfilm valmib	2062861	3265915	2987821
dokumentatsiooniga tutvuma	1784824	2987877	3287899
dokumentatsioonis fikseerima	2084464	3287518	2987876
dokumentide vastuvõtmine	2038305	3241359	3279013
dokumentidega tutvuma	1784729	2987782	3287908
dollarites arvestama	1774842	2977894	3276441
doonori sperma	2067372	3270426	3185944
doonorina tegutsema	2067776	3270830	2988021
doonorite register	2070911	3273965	2988031
draakoni kuju	2083031	3286085	2988129
dramaatiline hetk	2066254	3269308	2988168
džiibiga kihutama	1785167	2988220	3293528
eakas proua	1785386	2988439	3292070
eakas õpetaja	1785387	2988440	3266410
ebaaus politseinik	1785401	2988454	3281696
ebakindel pinnas	1785564	2988617	2988616
ebakompetentne arst	2082686	3285740	2976352
ebameeldiv tõik	2018675	3221728	3269134
ebameeldiv tõsiasi	2019530	3222583	3269072
ebameeldiv tüüp	2025397	3228451	3286143
ebamugav istuda	2086244	3289298	2988904
ebamäärane termin	2072098	3275152	3208832
ebanormaalne suhe	1785947	2989000	2988999
ebaoluline fakt	1785972	2989025	3268361
ebapiisav järelevalve	2076629	3279683	2989064
ebareaalne pakkumine	1786063	2989116	3281293
ebaseaduslik laskemoon	1880832	3083885	3279876
ebaseaduslik valdus	2032466	3235520	3274954
ebaseaduslikult tegutsema	2067778	3270832	2989176
ebaselge diagnoos	2073879	3276933	2989206
ebasobiv hetk	2066251	3269305	2989228
ebasobiv kellaaeg	2083714	3286768	3047973
ebasobiv moment	2066511	3269565	2989244
ebasoodne rendileping	1963025	3166078	3285257
ebatäpne fakt	1786454	2989507	3268360
ebatäpne termin	2072097	3275151	2989501
ebavõrdne suhe	1786550	2989603	2989602
ebavõrdsuse näitajad	2089146	3292200	2989671
ebaõnne kiruma	1786793	2989846	3267816
edasine integratsioon	1822272	3025325	3283907
edasine õppimine	2054503	3257557	3278841
edasipääsuks piisama	2079614	3282668	3142910
edasised kõnelused	1871722	3074775	3273437
edasised õpingud	2075915	3278969	3256892
edaspidised õpingud	2075890	3278944	3256897
edev auto	1787387	2990440	3283186
edu innustab	1821885	3024938	3274447
edu tagatis	1996283	3199336	3270146
edukad õpingud	2075907	3278961	3256893
edukalt ravima	2089298	3292352	3163596
edukalt tegutsema	2067993	3271047	2990585
edukas ettevõtja	1787561	2990614	3273007
edukas integratsioon	1822273	3025326	3283909
edukas pakkumine	1931834	3134887	3281260
edukas vilistlane	2042662	3245716	3266338
edukas õppimine	2054495	3257549	3278854
edukuse näitaja	2089151	3292205	2990709
edulugu innustab	1787676	2990729	3274408
eelarve arutamine	1774183	2977235	3268332
eelarve arutelu	2065060	3268114	3268331
eelarve arutlus	1774357	2977409	3268330
eelarve arutus	1774404	2977456	3268333
eelarve defitsiit	2065121	3268175	3268270
eelarve eelnõu	2065069	3268123	3268322
eelarve ja ajakava	2065063	3268117	3268328
eelarve ja maksud	1899187	3102240	3268302
eelarve ja planeerimine	2065099	3268153	3268292
eelarve ja tegevuskava	2002818	3205871	3268314
eelarve ja tööplaan	2065081	3268135	3268310
eelarve kasvab	1787892	2990945	3268230
eelarve kitsikus	2065075	3268129	3268316
eelarve koostamine	2065163	3268217	3268228
eelarve kosub	2065097	3268151	3268294
eelarve kujundamine	2065096	3268150	3268295
eelarve kulude kohta	1787935	2990988	3268225
eelarve kärped	1873864	3076917	3268298
eelarve küündib	2065090	3268144	3268301
eelarve küünib	1787896	2990949	3268262
eelarve liikme kohta	2065167	3268221	3268224
eelarve läbipaistvus	1893581	3096634	3268304
eelarve läbirääkimised	1893662	3096715	3268303
eelarve maht	1787923	2990976	3268240
eelarve planeerimine	2065095	3268149	3268296
eelarve prioriteedid	2065083	3268137	3268308
eelarve prognoos	1947118	3150171	3268327
eelarve puudujääk	1787926	2990979	3268265
eelarve raamid	1956469	3159522	3268321
eelarve rida	2065068	3268122	3268323
eelarve seletuskiri	2065066	3268120	3268325
eelarve struktuur	2065072	3268126	3268319
eelarve suurendamine	1987713	3190766	3268305
eelarve suureneb	2065144	3268198	3268247
eelarve suurusjärk	2065073	3268127	3268318
eelarve tasakaal	2065142	3268196	3268249
eelarve täitmine	1787925	2990978	3268258
eelarve täitub	2065076	3268130	3268315
eelarve vastuvõtmine	2065080	3268134	3268311, 3278981
eelarve väheneb	1787895	2990948	3268256
eelarve võimaldab	1787893	2990946	3268239
eelarve ülejääk	1787928	2990981	3268274
eelarvega klappima	1850944	3053997	3268307
eelarves kajastub	1787909	2990962	3268226
eelarves kajastuma	2065085	3268139	3268306
eelarves puudub	1787910	2990963	3268236
eelarvesse auku lööma	1787907	2990960	3268246
eelarvesse laekuma	1787905	2990958	3268229
eelarvesse lisanduma	1787906	2990959	3268238
eelarvesse maksma	2065091	3268145	3268300
eelarvesse planeerima	1787908	2990961	3268254
eelarvest eraldama	1787913	2990966	3268248
eelarvest finantseerima	2065067	3268121	3268324
eelarvest jätkub	2065071	3268125	3268320
eelarvest katma	1842047	3045100	3268313
eelarvest kuluma	1787912	2990965	3268237
eelarvest kulutama	1787915	2990968	3268263
eelarvest maksma	1787914	2990967	3268255
eelarvest moodustama	2065164	3268218	3268227
eelarvest näpistama	1922642	3125695	3268293
eelarvest rahastama	1957237	3160290	3268326
eelarvest taotlema	2065079	3268133	3268312
eelarvest tasuma	2065074	3268128	3268317
eelarvet arutama	2065062	3268116	3268329
eelarvet kinnitama	2065146	3268200	3268245
eelarvet koostama	2065168	3268222	3268223
eelarvet kärpima	1787898	2990951	3268235
eelarvet menetlema	1904156	3107209	3268299
eelarvet planeerima	1942364	3145417	3268297
eelarvet puudutama	2065082	3268136	3268309
eelarvet suurendama	1787900	2990953	3268257
eelarvet tasakaalustama	2065116	3268170	3268275
eelarvet täitma	1787901	2990954	3268264
eelarvet vastu võtma	2065113	3268167	3268278
eelarvet vähendama	2065122	3268176	3268269
eelisjärjekorras teenindama	2073783	3276837	3205122
eelistab elada maal	1788154	2991207	2991208
eelmine külastaja	2071756	3274810	3078290
eelmine number	2087503	3290557	3122730
eelmise aastani tegutsema	2067756	3270810	2964752
eelmise põlvkonna auto	1952986	3156039	3283182
eelmised jõulud	1830626	3033679	3279633
eelnevad õpingud	2075902	3278956	3256894
eelnevalt tutvuma	2017362	3220415	3287864
eelnõu valmib	2062971	3266025	3237132
eelnõu vastuvõtmine	1788350	2991403	3279017
eelseisvad kõnelused	1871735	3074788	3273463
eelviimase etapina valmima	2062843	3265897	3002725
eemal istuma	2086103	3289157	3027615
eeskuju innustab	1788760	2991813	3274420
eeskuju ja iidol	1818208	3021261	3266310
eeskujulikult teenindama	2073800	3276854	3205105
eesli selga istuma	2086285	3289339	2991755
eesli seljas istuma	2086256	3289310	2991756
eesmine numbrimärk	2088467	3291521	3122754
eespool kihutama	1846770	3049823	3293551
eessõnas rõhutama	1788969	2992022	3277834
eesti keel	1843546	3046599	3278203
eesti keele sõnaraamat	2082097	3285151	3278353, 3193247
eesti keele vihik	2041208	3244262	3278188, 3275168
eesti keele õpetaja	2053411	3256465	3266682, 3278191
eesti keeles hääldama	1816139	3019192	3279295, 3279293
eesti kirjakeel	1849314	3052367	3281737
eesti terminid	2072043	3275097	3208835
eesti-inglise sõnastik	2082038	3285092	3193293
eestikeelne ajaleht	1765170	2968222	3270336
eestikeelne kogudus	2081289	3284343	3056020
eestikeelne nimetus	1788998	2992051	3286917
eestikeelne sõnastik	2082027	3285081	3193290
eestikeelne termin	2072063	3275117	3208821
eetikat unustama	1789228	2992281	3281144
efektiivselt ravima	2089323	3292377	2992456
efektiivselt tegutsema	2067978	3271032	2992447
efektiivsemalt ravima	2089334	3292388	3163603
efektiivsus ja tootlikkus	2010273	3213326	3287087
efektiivsuse näitajad	2089153	3292207	2992516
ehe ja siiras	1977790	3180843	3282540
ehitis ja kinnistu	2068830	3271884	3051653
ehitis valmib	2062868	3265922	2992818
ehitusmaterjalide kauplus	2074209	3277263	3046213
ehitusmaterjalide pood	2074098	3277152	3146863
ehitusplatsi tasandama	2077985	3281039	3202661
ehitustööde eelarve	1790004	2993057	3268353
ehmatav diagnoos	2073871	3276925	2986399
ehmatav tõsiasi	2019535	3222588	3269080
ehmunult pärima	2063187	3266241	3157417
ehtne ja tõeline	2079106	3282160	3221181
ehtne šampanja	2073616	3276670	2993178
ei maksa unustada	1899401	3102454	3281137
eilne ajaleht	1765169	2968221	3270340
eilne number	2088383	3291437	3122733
eilsed kõnelused	1871726	3074779	3273452
ekraan helendab	1790423	2993476	3292634
ekraanilt kaduma	2082340	3285394	2993500
eksimatu intuitsioon	1823129	3026182	3265289
eksistentsi ohustama	1790747	2993800	3279793
eksistentsiaalne äng	2084943	3287997	2993821
ekskavaatori tootlikkus	2010265	3213318	3287048
eksklusiivne auto	1790857	2993910	3283184
eksklusiivne pakkumine	1790869	2993922	3281280
ekskremendid ja uriin	2090560	3293614	3229964
ekslikult seostama	1790985	2994038	3285603
eksootiline keel	1791001	2994054	3278434
ekspert rõhutab	1968142	3171195	3277819
eksporditav suhkur	1985180	3188233	3287962
eksport ületab impordi	1791323	2994376	2994375
eksportima või importima	2068921	3271975	3023271
ekspositsioon valmib	2062867	3265921	2994480
ekspositsiooni külastaja	2071804	3274858	2994496
ekspositsiooniga tutvuma	1791436	2994489	3287909
ekstreemne juht	2073106	3276160	2994505
elama ja tegutsema	2068003	3271057	3206174
elama ja treenima	2089497	3292551	3214673
elama sõbra juures	2083478	3286532	2994588
elamistingimuste järelevalve	2076628	3279682	2994765
elamu valmib	2062866	3265920	2994784
elamurajoon valmib	2062862	3265916	2994824
elanike elatustase	1792068	2995121	3274331
elanike register	2070857	3273911	2994957
elanikkond jaguneb pooleks	1791949	2995002	2995001
elanikkonna elatustase	1792070	2995123	3274320
elanikud ja ettevõtjad	1800729	3003782	3273031
elanikud kurdavad	1791866	2994919	3271625
elatustase ja elukvaliteet	1793674	2996727	3274298
elatustase kasvab	1792054	2995107	3274335
elatustase langeb	1792053	2995106	3274341
elatustase paraneb	1792055	2995108	3274328
elatustase tõuseb	1792052	2995105	3274346
elatustase ühtlustub	1792056	2995109	3274322
elatustaseme erinevus	1792080	2995133	3274311
elatustaseme kasv	1792075	2995128	3274334
elatustaseme langus	1792074	2995127	3274340
elatustaseme näitajad	2089152	3292206	2995134, 3292270
elatustaseme tõstmine	1792077	2995130	3274323
elatustaseme tõus	1792073	2995126	3274348
elatustaseme vahe	1792076	2995129	3274329
elatustaseme võrdlus	1792079	2995132	3274315
elatustaseme ühtlustumine	1792078	2995131	3274318
elatustaset kindlustama	1792062	2995115	3274319
elatustaset langetama	1792063	2995116	3274314
elatustaset parandama	1792058	2995111	3274342
elatustaset säilitama	1792061	2995114	3274324
elatustaset tagama	1792059	2995112	3274333
elatustaset tõstma	1792057	2995110	3274347
elatustaset võrdlema	1792064	2995117	3274310
elav laip	1879778	3082831	3267039
elektriauto aku	1766676	2969728	3276207
elektriautode laadimisjaam	1792282	2995335	3278681
elektriautode laadimispunkt	2075626	3278680	2995334
elektrienergiaks muundama	1792312	2995365	3277310
elektrienergiat importima	2068897	3271951	2995361
elektriks muundama	1792241	2995294	3277296
elektriline kodumasin	1792438	2995491	3292466
elektriline soojendus	1981459	3184512	3287191
elektripliidil praadima	1792456	2995509	3265069
elektrit importima	2068912	3271966	3023260
elektronid ühinevad	2068073	3271127	3260461
elektrooniline ja akustiline	1766705	2969757	3287030
elektrooniline järelevalve	2076646	3279700	3034573
elektrooniline register	2070875	3273929	3164655
elektrooniline seif	2091232	3294286	3177134
elektrooniline sõnaraamat	2082069	3285123	3193233
elektrooniline sõnastik	2082052	3285106	3193285
elektrooniline teatis	2001485	3204538	3292281
elementaarne esmaabi	1799504	3002557	3272401
elementaarne tõsiasi	2019531	3222584	3269073
elemente seostama	1792619	2995672	3285602
ellujäämist ohustama	1792819	2995872	3279781
elu ja universum	2070327	3273381	3229755
elu ohustama	1923806	3126859	3279747
eluaegne õppimine	1793040	2996093	3278862
eluasemelaen või liising	1885730	3088783	3287149
elujõuline kogudus	2081329	3284383	2996267
elukestev õppimine	2054491	3257545	3278896
elukvaliteedi näitajad	2089157	3292211	2996724
elumaja valmib	2062865	3265919	2996898
eluohtlik verejooks	2080595	3283649	2996953
eluoluga tutvuma	1793947	2997000	3287902
elupäästev esmaabi	1799502	3002555	3272403
eluruumi üürileping	2082246	3285300	2997123
elurõõmu piisama	2079605	3282659	3142897
elus konn	1858039	3061092	3271319
elusolendeid ohustama	1794112	2997165	3279787
elutegevuse jääkained	1794259	2997312	3277542
elutegevuse jääkproduktid	1794258	2997311	3277540
elutoas istuma	2086250	3289304	2997423
elutähtis veresoon	2090312	3293366	3243093
emaka verejooks	2080612	3283666	2997678
emakeele õpetaja	1794674	2997727	3266419
emakeele õppimine	1794681	2997734	3278811
emalt pärima	1794534	2997587	3266273
emme süles istuma	2086286	3289340	2997804
emotsionaalne tühik	2024845	3227899	3287819
emotsioonide ajendil tegutsema	2067754	3270808	2968729
empiiriline fakt	1794921	2997974	3268359
enam-vähem ühtlaselt	2057925	3260979	3294144
enamik autosid	1778756	2981808	3283415
enamik kauplusi	2074208	3277262	3046226
enamik külastajaid	2071748	3274802	3078340
enamik õpetajaid	2053418	3256472	3266673
end elusana tundma	2073219	3276273	2997152
end granaadiga õhku laskma	2073234	3276288	3007200
end kasulikuna tundma	2073237	3276291	3043736
end püsti ajama	2073218	3276272	2968512
end rikkana tundma	2073240	3276294	3168336
end süüdi tunnistama	2073241	3276295	3218921
end tugevana tundma	2073220	3276274	3218346
end tähtsaks pidama	2073233	3276287	3223812
end tähtsaks tegema	2073229	3276283	3223813
end tähtsana tundma	2073226	3276280	3223818
end virgeks võimlema	2073221	3276275	3248239
end väsinuna tundma	2073228	3276282	3218347
enda kehaga rahul olema	2073239	3276293	3160754
enda kogemusest rääkima	2073235	3276289	3055924
enda kogemustest õppima	2073238	3276292	3055925
enda lõbuks mängima	2073236	3276290	3094507
enda omaks tegema	2073231	3276285	3128231
enda õuduseks avastama	2073225	3276279	3257854
endale omane stiil	2073242	3276296	3187280
endamisi kiruma	1850097	3053150	3267813
endine ajakirjanik	1765060	2968112	3287311
endine kodu	1852158	3055211	3279115
endine lastekodu	2074856	3277910	3084036
endine meremees	2068238	3271292	3271277
endine nimetus	1918461	3121514	3286930
endine politseinik	1943446	3146499	3281611
endine produtsent	2079852	3282906	3149944
endine äi	2055105	3258159	3266386
endine ämm	2055268	3258322	3266359
endine äripartner	2055957	3259011	3274904
endine õpetaja	1795071	2998124	3266655
endiselt ajakohane	1765128	2968180	3278465
endiselt võrratu	2046756	3249810	3270392
energiaks muundama	1909700	3112753	3277299
energiat muundama	1909694	3112747	3277297
energiline õpetaja	1795280	2998333	3266405
energiliselt tegutsema	2067842	3270896	2998360
enesekaitseks lööma	1795372	2998425	3274057
enesekaitseks tegutsema	2067879	3270933	2998421
enesestmõistetav tõsiasi	1795477	2998530	3269107
ennast erilisena tundma	2073224	3276278	3000560
ennast maailmale vastandama	2073232	3276286	3240016
ennastunustavalt treenima	2089529	3292583	3214653
enne jõule	1830670	3033723	3279646
enneaegne puberteet	1795858	2998911	3276540
ennetamine ja avastamine	1780345	2983397	3271512
ennetamine ja kõrvaldamine	1872520	3075573	3271514
ennetamine ja ravi	1960369	3163422	3271513
ennetamine ja ravimine	1960651	3163704	3271515
ennetamine ja tõrje	2019400	3222453	3271511
ennetav tervishoid	2078328	3281382	3209673
ennetav vaktsineerimine	2080646	3283700	2999017
ennustus läheb täide	2072284	3275338	3278682
ennustus osutub täpseks	2072279	3275333	3275330
entsüklopeedia ja sõnastik	2082037	3285091	3193316
entsüklopeediad ja sõnaraamatud	2082080	3285134	3193257
entsüklopeediline sõnaraamat	2082079	3285133	3193231
entusiasm innustab	1796200	2999253	3274418
entusiasmiga tegutsema	2067774	3270828	2999276
entusiasmist tegutsema	2067837	3270891	2999267
eraettevõte tegutseb	2067829	3270883	2999503
erafirma tegutseb	2067813	3270867	2999532
eraisikute telefoninumbrid	2086822	3289876	3207233
erakooli õpetajad	1796631	2999684	3266425
erakoolina tegutsema	2067876	3270930	2999677
erakordne paindlikkus	2079730	3282784	3134171
erakordselt ilus	2064641	3267695	2999746
erakordselt sisukas	1979806	3182859	3288902
erakorraline vaktsineerimine	2080644	3283698	3235257
eraldi arvestama	1774774	2977826	3276443
eraldi ravima	2089337	3292391	3163604
eraldi rõhutama	1796822	2999875	3277790
eraldi toonitama	2010025	3213078	3277749
eramu hoov	2071508	3274562	2999982
eramu õu	2071598	3274652	2999981
eraomaniku kinnistu	2068863	3271917	3000087
erasektoris tegutsema	2067763	3270817	3000124
eraõiguslik ettevõtja	1797153	3000206	3272944
ere hetk	2066250	3269304	3000244
eredalt meenuma	1902992	3106045	3294165
eredalt mäletama	1913254	3116307	3294162
eredalt põlema	1952460	3155513	3294164
eredalt särama	1991135	3194188	3294163
eri keeled	1797293	3000346	3278432
eri kellaaeg	2083728	3286782	3047962
eri kontinendid	2072426	3275480	3061653
eri mandrid	2072374	3275428	3102955, 3103060
eriala õppimine	2054527	3257581	3278863
erialased õpingud	2075898	3278952	3256895
eriarsti vastuvõtt	2085820	3288874	3000440
eriline hetk	2066377	3269431	3012597
eriline intuitsioon	1823128	3026181	3265287
eriline tüüp	2025395	3228449	3286145
eriline vastupanu	2085957	3289011	3240640
eriline värin	2050051	3253105	3288958
eriliselt ilus	2064170	3267224	3000589
eriliselt rõhutama	1797519	3000572	3277782
eriliselt toonitama	2010027	3213080	3277755
eriliselt uhke	2071091	3274145	3000600
erimeelsusi unustama	1797606	3000659	3281134
erinev ajaleht	1765180	2968232	3270323
erinev pinnas	2090420	3293474	3144375
erinevad keeled	1843528	3046581	3278226
erinevad kellaajad	2083743	3286797	3047958
erinevad kogudused	2081279	3284333	3056014
erinevad kontinendid	2072432	3275486	3061652
erinevad lastekodud	2074877	3277931	3084033
erinevad mandrid	2072355	3275409	3102953
erinevad nimetused	1918450	3121503	3286896
erinevad numbrid	2086657	3289711	3122683
erinevad näitajad	2089194	3292248	3125245
erinevad rakendused	1958984	3162037	3274175
erinevad registrid	2070858	3273912	3164652
erinevad sõnastikud	2082036	3285090	3193287
erinevusi rõhutama	1797801	3000854	3277833
erinevust rõhutama	1968153	3171206	3277812
eripära rõhutama	1797872	3000925	3277829
erisooline ja samasooline	1972245	3175298	3272797
eriti ajakohane	1765125	2968177	3278450
eriti ilus	2064677	3267731	3022343
eriti innustama	1821883	3024936	3274431
eriti järsk	1832335	3035388	3035367
eriti kergelt	1845360	3048413	3273483
eriti kergesti	1845445	3048498	3273604
eriti lai	1879216	3082269	3082318
eriti osav	2083282	3286336	3131269
eriti rõhutama	1968127	3171180	3277775
eriti sisukas	1979798	3182851	3288927
eriti toonitama	2010026	3213079	3277753
eriti täpne	2066858	3269912	3225024
eriti uhke	2071074	3274128	3228680
eriti vihaselt	2090675	3293729	3244218
eriti võimsalt	2045214	3248268	3293608
eriüksus tegutseb	2067781	3270835	3001120
erutav hetk	2066249	3269303	3001191
esialgne diagnoos	2073861	3276915	2986389
esialgne eelarve	1787877	2990930	3268279
esialgne hinnapakkumine	2078143	3281197	3014011
esialgne pakkumine	1931832	3134885	3281258
esiistmete soojendus	1981464	3184517	3287192
esiklaasi soojendus	1981466	3184519	3287197
esikohaks piisama	2079610	3282664	3142911
esikusse kaduma	2082347	3285401	3001370
esimees toonitab	2010037	3213090	3277756
esimene number	2086754	3289808	3122735
esimesest silmapilgust	2066458	3269512	3181330
esinaise vastuvõtt	2085816	3288870	3001708
esinaisena tegutsema	2067768	3270822	3001695
esindus tegutseb	2067759	3270813	3001913
esineja rõhutab	1968143	3171196	3277821
esitamise hetkel	2066408	3269462	3012655
esituse salvestis	1799446	3002499	3277365
esivanemate keel	1799495	3002548	3278325
esivanemate kodu	1799494	3002547	3279268
esiveoline auto	1778688	2981740	3283339
esmaabi andma	1799507	3002560	3272398
esmaabi andmine	1770669	2973721	3272415
esmaabi osutama	1799509	3002562	3272409
esmaabi osutamine	1799512	3002565	3272410
esmaabi põhikursus	1799513	3002566	3272407
esmaabi saama	1799510	3002563	3272406
esmaabi saamine	1799511	3002564	3272413
esmaabi vajama	1799508	3002561	3272412
esmaabi vastuvõtt	2085817	3288871	3002567, 3288877
esmakordne külastaja	2071782	3274836	3002580
esmakordselt tutvuma	2017363	3220416	3287865
esmane diagnoos	2073869	3276923	2986397
esmane hinnapakkumine	2078135	3281189	3014015
esmane ja ainus	1764561	2967613	3288021
esmane tarve	1999289	3202342	3265709
esmane vaktsineerimine	2080641	3283695	3235260
esmatasandi tervishoid	2078317	3281371	3209683
esteetiline taju	1997124	3200177	3285327
etappi kihutama	1799704	3002757	3293565
etenduse produtsent	2079858	3282912	3149954
eterniit ja plekk	1942699	3145752	3277538
etteheited ja solvangud	2086014	3289068	3184093
ettekandes rõhutama	1968155	3171208	3277788
ettekandja tutvustab end	2073246	3276300	3003058
ettekuulutus läheb täide	2020991	3224045	3278690
ettemakset arvutama	2073362	3276416	3003346
ettenähtud kellaaeg	2083754	3286808	3047978
ettevaatlikult pärima	2063184	3266238	3157419
ettevaatlikult tegutsema	2067760	3270814	3003485
ettevaatlikult torkama	2010510	3213563	3277866
ettevaatust unustama	1800450	3003503	3281121
ettevalmistava etapina valmima	2062844	3265898	3002724
ettevalmistustöödega tutvuma	1800627	3003680	3287903
ettevõte teenindab	2073784	3276838	3003716
ettevõte tegutseb	2067986	3271040	3003712
ettevõtete tootlikkus	2010257	3213310	3287074
ettevõtja deklareerib	1782578	2985631	3272960
ettevõtja huvitub	1814497	3017550	3272997
ettevõtja investeerib	1800706	3003759	3273025
ettevõtja ja konsultant	2069268	3272322	3272934, 3061360
ettevõtja ja mentor	1904336	3107389	3272992
ettevõtja ja mittetulundusühing	1906503	3109556	3272959
ettevõtja ja pankur	1933133	3136186	3272954
ettevõtja ja põllumees	1952894	3155947	3272967
ettevõtja ja töötegija	2024080	3227134	3285197, 3272990
ettevõtja ja ärimees	2055928	3258982	3272974
ettevõtja konkureerib	1857744	3060797	3272983
ettevõtja maksab makse	1800708	3003761	3273016, 3273018, 3003760
ettevõtja maksab töötasu	1800709	3003762	3273017
ettevõtja palkab	1932576	3135629	3272972
ettevõtja panustab	1933313	3136366	3272973
ettevõtja riskib	1966231	3169284	3272977
ettevõtja tegeleb	1800710	3003763	3273010
ettevõtja tegevusalad	2002732	3205785	3272979
ettevõtja tegutseb	2067946	3271000	3003758, 3272939
ettevõtja tõendab	2018202	3221255	3272955
ettevõtja või organ	1927116	3130169	3272963
ettevõtja võõrandab	2047017	3250071	3272962
ettevõtja äritegevus	2056080	3259134	3272989
ettevõtjad ja ametnikud	1769723	2972775	3272968
ettevõtjad ja eraisikud	1796507	2999560	3272978
ettevõtjad ja firmajuhid	1802370	3005423	3272994
ettevõtjad ja investorid	1823364	3026417	3272991
ettevõtjad ja juhid	1827806	3030859	3272988
ettevõtjad ja talunikud	1997922	3200975	3272981
ettevõtjad ja talupidajad	1997935	3200988	3272975
ettevõtjad ja tarbijad	1998791	3201844	3272961
ettevõtjad ja teadlased	2000792	3203845	3272982
ettevõtjad ja tippjuhid	2007983	3211036	3272993
ettevõtjad ja töövõtjad	2024614	3227668	3272957
ettevõtjad ja välisinvestorid	2048353	3251407	3272958
ettevõtjaid abistama	1762478	2965530	3273028
ettevõtjaid aitama	1800715	3003768	3273002
ettevõtjaid innustama	1800716	3003769	3273000, 3274407
ettevõtjaid julgustama	1828612	3031665	3272987
ettevõtjaid motiveerima	1800714	3003767	3273005
ettevõtjaid nõustama	1800712	3003765	3273019
ettevõtjaid toetama	1800711	3003764	3273034
ettevõtjaid tunnustama	1800713	3003766	3273011
ettevõtjaid väärtustama	2051135	3254189	3272970
ettevõtjaks hakkama	1800717	3003770	3273035
ettevõtjaks sobima	1800718	3003771	3273026
ettevõtjale väljastama	2049273	3252327	3272956
ettevõtjana tegutsema	2068011	3271065	3003772, 3272940
ettevõtjat tunnustama	2016023	3219076	3272976
ettevõtjate arv	1800728	3003781	3273006
ettevõtjate erakond	1796570	2999623	3272971
ettevõtjate esindajad	1800726	3003779	3273020
ettevõtjate huvi	1800724	3003777	3273037
ettevõtjate huvid	1814199	3017252	3272995
ettevõtjate ind	1820328	3023381	3272996
ettevõtjate kindlustunne	1848105	3051158	3272984
ettevõtjate konkurentsivõime	1857908	3060961	3272985
ettevõtjate koostöö	1800725	3003778	3273027
ettevõtjate maksukoormus	1899515	3102568	3272986
ettevõtjate nurin	1919820	3122873	3272980
ettevõtjate optimism	1926815	3129868	3272969
ettevõtjate tegevus	1800727	3003780	3273012
ettevõtjate ühendus	2057118	3260172	3272966
ettevõtjatest mentorid	1904330	3107383	3272964
ettevõtlikkusest piisama	2079567	3282621	3003837
ettevõtte usaldusväärsus	2082434	3285488	3230157
etümoloogiline sõnaraamat	2082085	3285139	3193230
eurodes arvestama	1774841	2977893	3276431
euroga ühinema	2068106	3271160	3004008
europarlament arutab eelarvet	1800987	3004040	3268356
