EKI liik	EKI nimi	EKI kood	EKI väärtus	EKI keel	LEX nimi	LEX kood
etymkeel_tyyp	etymkeel_tyyp	assüüria	Akkadian	en	language	akk
etymkeel_tyyp	etymkeel_tyyp	Austraalia k-d	Austraalia keeled	et	language	qbk
etymkeel_tyyp	etymkeel_tyyp	Austraalia k-d	Australian languages	en	language	qbk
etymkeel_tyyp	etymkeel_tyyp	avesta	avesta keel	et	language	ave
etymkeel_tyyp	etymkeel_tyyp	avesta	Avesta	en	language	ave
etymkeel_tyyp	etymkeel_tyyp	balti	balti keel (tiibeti keelerühmas)	et	language	bft
etymkeel_tyyp	etymkeel_tyyp	balti	Balti	en	language	bft
etymkeel_tyyp	etymkeel_tyyp	baltisaksa	baltisaksa murre	et	language	qad
etymkeel_tyyp	etymkeel_tyyp	baltisaksa	Baltic German	en	language	qad
etymkeel_tyyp	etymkeel_tyyp	bambara	bambara keel (Malis)	et	language	bam
etymkeel_tyyp	etymkeel_tyyp	bambara	Bambara	en	language	bam
etymkeel_tyyp	etymkeel_tyyp	bantu k-d	bantu keeled	et	language	qbl
etymkeel_tyyp	etymkeel_tyyp	bengali	bengali keel	et	language	ben
etymkeel_tyyp	etymkeel_tyyp	bengali	Bengal	en	language	ben
etymkeel_tyyp	etymkeel_tyyp	berberi	berberi keel	et	language	ber
etymkeel_tyyp	etymkeel_tyyp	berberi	Berber	en	language	ber
etymkeel_tyyp	etymkeel_tyyp	bretooni	bretooni keel	et	language	bre
etymkeel_tyyp	etymkeel_tyyp	bretooni	Breton	en	language	bre
etymkeel_tyyp	etymkeel_tyyp	dharuki	dharuki	et	language	xdk
etymkeel_tyyp	etymkeel_tyyp	eenetsi	eenetsi keel	et	language	enh
etymkeel_tyyp	etymkeel_tyyp	eestirootsi	eestirootsi murre	et	language	qae
etymkeel_tyyp	etymkeel_tyyp	eesti-vadja	eesti-vadja	et	language	qaf
etymkeel_tyyp	etymkeel_tyyp	eesti-vadja	Estonian and Votic	en	language	qaf
etymkeel_tyyp	etymkeel_tyyp	egiptuse	egiptuse	et	language	egy
etymkeel_tyyp	etymkeel_tyyp	egiptuse	Egyptian	en	language	egy
etymkeel_tyyp	etymkeel_tyyp	ersa	ersa keel	et	language	myv
etymkeel_tyyp	etymkeel_tyyp	ersa	Erzya	en	language	myv
etymkeel_tyyp	etymkeel_tyyp	eve	eve keel	et	language	ewe
etymkeel_tyyp	etymkeel_tyyp	eve	Ewe	en	language	ewe
etymkeel_tyyp	etymkeel_tyyp	etioopia	etioopia keel	et	language	gez
etymkeel_tyyp	etymkeel_tyyp	eveeni	eveeni keel	et	language	eve
etymkeel_tyyp	etymkeel_tyyp	evengi	evengi keel	et	language	evn
etymkeel_tyyp	etymkeel_tyyp	frangi	frangi keel	et	language	qag
etymkeel_tyyp	etymkeel_tyyp	frangi	Frankish (Old Franconian, Old Frankish)	en	language	qag
etymkeel_tyyp	etymkeel_tyyp	gaeli	gaeli keel	et	language	gla
etymkeel_tyyp	etymkeel_tyyp	gaeli	Gaelish	en	language	gla
