LEX nimi	LEX kood	LEX väärtus	LEX keel	LEX väärtuse liik
language	qak	keskaja ladina	est	descrip
language	frm	keskprantsuse	est	descrip
language	qal	keskpärsia	est	descrip
language	gmh	keskülemsaksa	est	descrip
language	que	ketšua	est	descrip
language	kmb	kimbundu	est	descrip
language	kir	kirgiisi	est	descrip
language	qam	kirikuladina	est	descrip
language	chu	kirikusalaavi (vanaslaavi)	est	descrip
language	kom	komi	est	descrip
language	kon	kongo	est	descrip
language	ell	kreeka	est	descrip
language	crh	krimmitatari	est	descrip
language	cym	kõmri	est	descrip
language	qwm	kõptšaki	est	descrip
language	lat	ladina	est	descrip
language	lit	leedu	est	descrip
language	liv	liivi	est	descrip
language	qan	liivi keele Salatsi murre	est	descrip
language	lav	läti	est	descrip
language	qao	läänemeresoome	est	descrip
language	qap	läänemeresoome-mordva	est	descrip
language	qaq	läänemeresoome-permi	est	descrip
language	qar	läänemeresoome-saami	est	descrip
language	qas	läänemeresoome-volga	est	descrip
language	lud	lüüdi	est	descrip
language	mlg	malagassi	est	descrip
language	msa	malai	est	descrip
language	mal	malajalami	est	descrip
language	div	maldiivi	est	descrip
language	mns	mansi	est	descrip
language	mri	maoori	est	descrip
language	chm	mari	est	descrip
language	qat	meditsiiniladina	est	descrip
language	mic	mikmaki	est	descrip
language	mdf	mokša	est	descrip
language	mon	mongoli	est	descrip
language	nah	nahua	est	descrip
language	naq	nama (endise nimega hotentoti)	est	descrip
language	yrk	neenetsi	est	descrip
language	nep	nepaali	est	descrip
language	nio	nganassaani	est	descrip
language	nor	norra	est	descrip
language	oss	osseedi	est	descrip
language	pol	poola	est	descrip
language	por	portugali	est	descrip
language	pim	pouhatani	est	descrip
language	fra	prantsuse	est	descrip
language	qau	provansi	est	descrip
language	prg	preisi	est	descrip
language	fas	pärsia	est	descrip
language	qav	rahvaladina	est	descrip
language	qbm	romaani keeled	est	descrip
language	swe	rootsi	est	descrip
language	ron	rumeenia	est	descrip
language	qaw	saami	est	descrip
language	smn	Inari saami	est	descrip
language	sms	koltasaami	est	descrip
language	smj	Lule saami	est	descrip
language	sma	lõunasaami	est	descrip
language	sje	Pite saami	est	descrip
language	sjt	turjasaami	est	descrip
language	deu	saksa	est	descrip
language	srh	sarikoli	est	descrip
language	qbn	semi keeled	est	descrip
language	hbs	serbohorvaadi	est	descrip
language	dak	siuu	est	descrip
language	qbo	slaavi keeled	est	descrip
language	slv	sloveeni	est	descrip
language	fin	soome	est	descrip
language	qac	soome-ugri	est	descrip
language	swa	suahiili	est	descrip
language	zul	suulu	est	descrip
language	sel	sölkupi	est	descrip
language	syr	süüria	est	descrip
language	dan	taani	est	descrip
language	tgk	tadžiki	est	descrip
language	tgl	tagalogi	est	descrip
language	tha	tai	est	descrip
language	tnq	taino	est	descrip
language	tam	tamili	est	descrip
language	tat	tatari	est	descrip
language	bod	tiibeti	est	descrip
language	ton	tonga	est	descrip
language	chg	tšagatai (vanausbeki)	est	descrip
language	ces	tšehhi	est	descrip
language	ckt	tšuktši	est	descrip
language	chv	tšuvaši	est	descrip
language	qax	tupi-guaranii	est	descrip
language	qbj	turgi keeled	est	descrip
language	tur	türgi	est	descrip
language	udm	udmurdi	est	descrip
language	uig	uiguuri	est	descrip
language	ukr	ukraina	est	descrip
language	hun	ungari	est	descrip
language	urd	urdu	est	descrip
language	qay	uurali	est	descrip
language	qaz	uuskreeka	est	descrip
language	qba	uusladina	est	descrip
language	vot	vadja	est	descrip
language	bel	valgevene	est	descrip
language	qbb	vanaegiptuse	est	descrip
language	qbc	vanafriisi	est	descrip
language	qbd	vanahispaania	est	descrip
language	qbe	vanaindia	est	descrip
language	ang	vanainglise	est	descrip
language	qbf	vanasaksi	est	descrip
language	fro	vanaprantsuse	est	descrip
language	non	vanapõhja	est	descrip
language	qbg	vanarootsi	est	descrip
language	qbh	vanatürgi	est	descrip
language	qbi	vanavene	est	descrip
language	goh	vanaülemsaksa	est	descrip
language	rus	vene	est	descrip
language	vep	vepsa	est	descrip
language	vie	vietnami	est	descrip
language	est	eesti	est	descrip
language	san	sanskriti	est	descrip
language	pli	paali	est	descrip
language	pan	pandžabi	est	descrip
lex_rel_type	comp	liitsõna	est	full
lex_rel_type	head	põhisõna	est	full
lex_rel_type	vor	vormel	est	full
lex_rel_type	yvr	üksikvorm	est	full
lex_rel_type	pyh	ühend	est	full
lex_rel_type	yhvt	ühendviide	est	full
lex_rel_type	tvt:vrd	tähendusviide, võrdle	est	full
lex_rel_type	tvt:vt ka	tähendusviide, vaata ka	est	full
lex_rel_type	yvt:vrd	ühisviide, võrdle tähendust	est	full
lex_rel_type	yvt:vt ka	ühisviide, vaata ka	est	full
lex_rel_type	yvt:NB	ühisviide, ära aja segi	est	full
lex_rel_type	lyh	lühend	est	full
lex_rel_type	sub_word	allmärksõna	est	full
lex_rel_type	yvt:NB	ära aja segi	est	wordweb
lex_rel_type	yvt:vt ka	vaata ka	est	wordweb
lex_rel_type	yvt:vrd	võrdle	est	wordweb
lex_rel_type	comp	liitsõna	est	wordweb
lex_rel_type	lyh	lühend	est	wordweb
lex_rel_type	head	põhisõna	est	wordweb
lex_rel_type	pyh	ühend	est	wordweb
lex_rel_type	yvr	üksikvorm	est	wordweb
lex_rel_type	tvt:vt ka	vaata ka	est	wordweb
lex_rel_type	yhvt	vaata ka	est	wordweb
lex_rel_type	vor	suhtlusväljend	est	wordweb
lex_rel_type	tvt:vrd	võrdle	est	wordweb
lex_rel_type	sub_word	vaata ka	est	wordweb
lexeme_frequency	1	1 - kuni 3000	est	descrip
lexeme_frequency	2	2 - 3000-6000	est	descrip
lexeme_frequency	3	3 - 6000-10000	est	descrip
lexeme_frequency	4	4 - pole sagedussõnastikus	est	descrip
lexeme_frequency	F0	F0 - 1 kuni 5000	est	descrip
lexeme_frequency	F1	F1 - 5001 kuni 10 000	est	descrip
lexeme_frequency	F2	F2 - 10 001 kuni 20 000	est	descrip
lexeme_frequency	F3	F3 - 20 001 kuni 30 000	est	descrip
lexeme_frequency	F4	F4 - 30 001 kuni 40 000	est	descrip
lexeme_frequency	F5	F5 - 40 001 kuni 50 000	est	descrip
lexeme_frequency	L2	L2 - 3000-6000 (lisatud)	est	descrip
lexeme_frequency	L3	L3 - 6000-10000 (lisatud)	est	descrip
lexeme_frequency	L4	L4 - pole sagedussõnastikus (lisatud)	est	descrip
lexeme_frequency	F0	*****	est	wordweb
lexeme_frequency	F1	****	est	wordweb
lexeme_frequency	F2	***	est	wordweb
lexeme_frequency	F3	**	est	wordweb
lexeme_frequency	F4	*	est	wordweb
lexeme_frequency	F5	(*)	est	wordweb
lexeme_frequency	1	*****	est	wordweb
lexeme_frequency	2	*****	est	wordweb
lexeme_frequency	3	****	est	wordweb
lexeme_frequency	4	*	est	wordweb
lexeme_frequency	L2	*****	est	wordweb
lexeme_frequency	L3	****	est	wordweb
lexeme_frequency	L4	*****	est	wordweb
meaning_rel_type	ant	antonüüm	est	descrip
meaning_rel_type	cohyponym	kaashüponüüm	est	descrip
meaning_rel_type	cohyponym	võrdle	est	wordweb
meaning_rel_type	ant	vastand	est	wordweb
morph	ID	muutumatu	est	descrip2
morph	SgN	ainsuse nimetav	est	descrip2
morph	SgN	SgN	eng	descrip2
morph	SgG	ainsuse omastav	est	descrip2
morph	SgP	ainsuse osastav	est	descrip2
morph	SgAdt	ainsuse suunduv	est	descrip2
morph	SgIll	ainsuse sisseütlev	est	descrip2
morph	SgIn	ainsuse seesütlev	est	descrip2
morph	SgEl	ainsuse seestütlev	est	descrip2
morph	SgAll	ainsuse alaleütlev	est	descrip2
morph	SgAd	ainsuse alalütlev	est	descrip2
morph	SgAbl	ainsuse alaltütlev	est	descrip2
morph	SgTr	ainsuse saav	est	descrip2
morph	SgTer	ainsuse rajav	est	descrip2
morph	SgEs	ainsuse olev	est	descrip2
morph	SgAb	ainsuse ilmaütlev	est	descrip2
morph	SgKom	ainsuse kaasaütlev	est	descrip2
morph	PlN	mitmuse nimetav	est	descrip2
morph	PlG	mitmuse omastav	est	descrip2
morph	PlP	mitmuse osastav	est	descrip2
morph	PlAdt	mitmuse aditiiv	est	descrip2
morph	PlIll	mitmuse sisseütlev	est	descrip2
morph	PlIn	mitmuse seesütlev	est	descrip2
morph	PlEl	mitmuse seestütlev	est	descrip2
morph	PlAll	mitmuse alaleütlev	est	descrip2
morph	PlAd	mitmuse alalütlev	est	descrip2
morph	PlAbl	mitmuse alaltütlev	est	descrip2
morph	PlTr	mitmuse saav	est	descrip2
morph	PlTer	mitmuse rajav	est	descrip2
morph	PlEs	mitmuse olev	est	descrip2
morph	PlAb	mitmuse ilmaütlev	est	descrip2
morph	PlKom	mitmuse kaasaütlev	est	descrip2
morph	Sup	MA = ma-tegevusnimi	est	descrip2
morph	Inf	DA = da-tegevusnimi	est	descrip2
morph	IndPrSg3	B = kindla kv oleviku ainsuse 3. p	est	descrip2
morph	IndPrPl1	ME = kindla kv oleviku mitmuse 1. p	est	descrip2
morph	PtsPtIps	TUD = tud-kesksõna	est	descrip2
morph	IndIpfSg3	S = lihtmineviku ainsuse 3. p	est	descrip2
morph	PtsPtPs	NUD = nud-kesksõna	est	descrip2
morph	ImpPrPl2	GE = käskiva kv mitmuse 2. p	est	descrip2
morph	IndPrIps	TAKSE = umbisikulise tm olevik	est	descrip2
morph	PtsPrIps	TAV = tav-kesksõna	est	descrip2
morph	IndPrPsN	POLE = kindla kv oleviku eitus	est	descrip2
morph	IndIpfPsN	POLNUD = kindla kv mineviku eitus	est	descrip2
morph	Neg	EI = eitus	est	descrip2
morph	ImpPrSg2N	ÄRA = käskiva kv oleviku sg 2.p. eitus	est	descrip2
morph	ImpPrPl2N	ÄRGE = käskiva kv oleviku pl 2.p. eitus	est	descrip2
morph	ImpPrPl1N	ÄRGEM = käskiva kv oleviku pl 1.p. eitus	est	descrip2
morph	ImpPrN	ÄRGU = käskiva kv oleviku isikuline eitus	est	descrip2
morph	ID	indekl	lat	abbrev
morph	SgN	nom	lat	abbrev
morph	SgG	sg gen, gen	lat	abbrev
morph	SgP	part	lat	abbrev
morph	SgIll	illat	lat	abbrev
morph	SgIn	iness	lat	abbrev
morph	SgEl	adess	lat	abbrev
morph	PlN	pl nom	lat	abbrev
morph	PlG	pl gen	lat	abbrev
morph	PlP	pl part	lat	abbrev
morph	PlIll	pl illat	lat	abbrev
morph	PlIn	pl iness	lat	abbrev
morph	PlEl	pl elat	lat	abbrev
morph	PlTer	pl term	lat	abbrev
morph	SgN	SgN	eng	abbrev
morph	SgG	om	est	abbrev
morph	SgP	os	est	abbrev
morph	ID	--------	est	ekimorfo
morph	??	------xx	est	ekimorfo
morph	SgN	------0N	est	ekimorfo
morph	SgG	------0G	est	ekimorfo
morph	SgP	------0P	est	ekimorfo
morph	SgAdt	------0D	est	ekimorfo
morph	SgIll	------01	est	ekimorfo
morph	SgIn	------02	est	ekimorfo
morph	SgEl	------03	est	ekimorfo
morph	SgAll	------04	est	ekimorfo
morph	SgAd	------05	est	ekimorfo
morph	SgAbl	------06	est	ekimorfo
morph	SgTr	------0T	est	ekimorfo
morph	SgTer	------0R	est	ekimorfo
morph	SgEs	------0E	est	ekimorfo
morph	SgAb	------0A	est	ekimorfo
morph	SgKom	------0K	est	ekimorfo
morph	PlN	------1N	est	ekimorfo
morph	PlG	------1G	est	ekimorfo
morph	PlP	------1P	est	ekimorfo
morph	PlIll	------11	est	ekimorfo
morph	PlIn	------12	est	ekimorfo
morph	PlEl	------13	est	ekimorfo
morph	PlAll	------14	est	ekimorfo
morph	PlAd	------15	est	ekimorfo
morph	PlAbl	------16	est	ekimorfo
morph	PlTr	------1T	est	ekimorfo
morph	PlTer	------1R	est	ekimorfo
morph	PlEs	------1E	est	ekimorfo
morph	PlAb	------1A	est	ekimorfo
morph	PlKom	------1K	est	ekimorfo
morph	Rpl	------1-	est	ekimorfo
morph	Nlyhi	------RC	est	ekimorfo
morph	Nvahe	------HC	est	ekimorfo
morph	Sup	30------	est	ekimorfo
morph	SupAb	30-----A	est	ekimorfo
morph	SupIn	30-----2	est	ekimorfo
morph	SupEl	30-----3	est	ekimorfo
morph	SupTr	30-----T	est	ekimorfo
morph	SupIps	31------	est	ekimorfo
morph	Inf	1-------	est	ekimorfo
morph	Ger	2-------	est	ekimorfo
morph	PtsPrPs	400---0N	est	ekimorfo
morph	PtsPrIps	410---0N	est	ekimorfo
morph	PtsPtPs	401--0--	est	ekimorfo
morph	PtsPtIps	411--0--	est	ekimorfo
morph	IndPrSg1	-00011--	est	ekimorfo
morph	IndPrSg2	-00021--	est	ekimorfo
morph	IndPrSg3	-00031--	est	ekimorfo
morph	IndPrPl1	-00041--	est	ekimorfo
morph	IndPrPl2	-00051--	est	ekimorfo
morph	IndPrPl3	-00061--	est	ekimorfo
morph	IndPrPs_	-00000--	est	ekimorfo
morph	IndPrIps	-100-1--	est	ekimorfo
morph	IndPrIps_	-100-0--	est	ekimorfo
morph	IndIpfSg1	-02011--	est	ekimorfo
morph	IndIpfSg2	-02021--	est	ekimorfo
morph	IndIpfSg3	-02031--	est	ekimorfo
morph	IndIpfPl1	-02041--	est	ekimorfo
morph	IndIpfPl2	-02051--	est	ekimorfo
morph	IndIpfPl3	-02061--	est	ekimorfo
morph	IndIpfIps	-120-1--	est	ekimorfo
morph	KndPrSg1	-00211--	est	ekimorfo
morph	KndPrSg2	-00221--	est	ekimorfo
morph	KndPrPs	-00200--	est	ekimorfo
morph	KndPrPl1	-00241--	est	ekimorfo
morph	KndPrPl2	-00251--	est	ekimorfo
morph	KndPrPl3	-00261--	est	ekimorfo
morph	KndPrIps	-102-0--	est	ekimorfo
morph	KndPtSg1	-01211--	est	ekimorfo
morph	KndPtSg2	-01221--	est	ekimorfo
morph	KndPtPs	-01200--	est	ekimorfo
morph	KndPtPl1	-01241--	est	ekimorfo
morph	KndPtPl2	-01251--	est	ekimorfo
morph	KndPtPl3	-01261--	est	ekimorfo
morph	KndPtIps	-112-0--	est	ekimorfo
morph	KvtPrPs	-00100--	est	ekimorfo
morph	KvtPrIps	-101-0--	est	ekimorfo
morph	KvtPtPs	-01100--	est	ekimorfo
morph	KvtPtIps	-111-0--	est	ekimorfo
morph	ImpPrSg2	-00320--	est	ekimorfo
morph	ImpPrPl1	-00340--	est	ekimorfo
morph	ImpPrPl2	-00350--	est	ekimorfo
morph	ImpPrPs	-00300--	est	ekimorfo
morph	ImpPrIps	-103-0--	est	ekimorfo
morph	Vlyhi	RC------	est	ekimorfo
morph	Vvahe	RC------	est	ekimorfo
morph	Neg	-----2--	est	ekimorfo
morph	ImpPrSg2N	-00322--	est	ekimorfo
morph	ImpPrPl1N	-00342--	est	ekimorfo
morph	ImpPrPl2N	-00352--	est	ekimorfo
morph	ImpPrN	--0302--	est	ekimorfo
morph	IndPrPsN	-00002--	est	ekimorfo
morph	IndPrIpsN	-100-2--	est	ekimorfo
morph	IndIpfPsN	-02002--	est	ekimorfo
morph	IndIpfIpsN	-120-2--	est	ekimorfo
morph	KvtPrPsN	-00102--	est	ekimorfo
morph	KvtPtPsN	-01102--	est	ekimorfo
morph	KndPrPsN	-00202--	est	ekimorfo
morph	KndPtPsN	-01202--	est	ekimorfo
morph	ID	muutumatu sõna (indekl)	est	descrip
morph	??	määramatu vorm	est	descrip
morph	SgN	ainsuse nimetav	est	descrip
morph	SgG	ainsuse omastav	est	descrip
morph	SgP	ainsuse osastav	est	descrip
morph	SgAdt	ainsuse suunduv e lühike sisseütlev	est	descrip
morph	SgIll	ainsuse sisseütlev	est	descrip
morph	SgIn	ainsuse seesütlev	est	descrip
morph	SgEl	ainsuse seestütlev	est	descrip
morph	SgAll	ainsuse alaleütlev	est	descrip
morph	SgAd	ainsuse alalütlev	est	descrip
morph	SgAbl	ainsuse alaltütlev	est	descrip
morph	SgTr	ainsuse saav	est	descrip
morph	SgTer	ainsuse rajav	est	descrip
morph	SgEs	ainsuse olev	est	descrip
morph	SgAb	ainsuse ilmaütlev	est	descrip
morph	SgKom	ainsuse kaasaütlev	est	descrip
morph	PlN	mitmuse nimetav	est	descrip
morph	PlG	mitmuse omastav	est	descrip
morph	PlP	mitmuse osastav	est	descrip
morph	PlIll	mitmuse sisseütlev	est	descrip
morph	PlIn	mitmuse seesütlev	est	descrip
morph	PlEl	mitmuse seestütlev	est	descrip
morph	PlAll	mitmuse alaleütlev	est	descrip
morph	PlAd	mitmuse alalütlev	est	descrip
morph	PlAbl	mitmuse alaltütlev	est	descrip
morph	PlTr	mitmuse saav	est	descrip
morph	PlTer	mitmuse rajav	est	descrip
morph	PlEs	mitmuse olev	est	descrip
morph	PlAb	mitmuse ilmaütlev	est	descrip
morph	PlKom	mitmuse kaasaütlev	est	descrip
morph	Sup	ma-infinitiiv e ma-tegevusnimi	est	descrip
morph	SupAb	mata-vorm	est	descrip
morph	SupIn	mas-vorm	est	descrip
morph	SupEl	mast-vorm	est	descrip
morph	SupTr	maks-vorm	est	descrip
morph	SupIps	ma-tegevusnime umbisikuline tegumood	est	descrip
morph	Inf	da-infinitiiv e da-tegevusnimi	est	descrip
morph	Ger	des-vorm	est	descrip
morph	PtsPrPs	oleviku isikuline kesksõna e v-kesksõna	est	descrip
morph	PtsPrIps	oleviku umbisikuline kesksõna e tav-kesksõna	est	descrip
morph	PtsPtPs	mineviku isikuline kesksõna e nud-kesksõna	est	descrip
morph	PtsPtIps	mineviku umbisikuline kesksõna e tud-kesksõna	est	descrip
morph	IndPrSg1	kindla kõneviisi oleviku ainsuse 1.pööre	est	descrip
morph	IndPrSg2	kindla kõneviisi oleviku ainsuse 2.p.	est	descrip
morph	IndPrSg3	kindla kõneviisi oleviku ainsuse 3.p.	est	descrip
morph	IndPrPl1	kindla kõneviisi oleviku mitmuse 1.p.	est	descrip
morph	IndPrPl2	kindla kõneviisi oleviku mitmuse 2.p.	est	descrip
morph	IndPrPl3	kindla kõneviisi oleviku mitmuse 3.p.	est	descrip
morph	IndPrPs_	kindla kõneviisi oleviku isikuline tegumood (eitusega)	est	descrip
morph	IndPrIps	kindla kõneviisi oleviku umbisikuline tegumood	est	descrip
morph	IndPrIps_	kindla kõneviisi oleviku umbisikuline tegumood (eitusega)	est	descrip
morph	IndIpfSg1	kindla kõneviisi lihtmineviku ainsuse 1.p.	est	descrip
morph	IndIpfSg2	kindla kõneviisi lihtmineviku ainsuse 2.p.	est	descrip
morph	IndIpfSg3	kindla kõneviisi lihtmineviku ainsuse 3.p.	est	descrip
morph	IndIpfPl1	kindla kõneviisi lihtmineviku mitmuse 1.p.	est	descrip
morph	IndIpfPl2	kindla kõneviisi lihtmineviku mitmuse 2.p.	est	descrip
morph	IndIpfPl3	kindla kõneviisi lihtmineviku mitmuse 3.p.	est	descrip
morph	IndIpfIps	kindla kõneviisi lihtmineviku umbisikuline tegumood	est	descrip
morph	KndPrSg1	tingiva kõneviisi oleviku ainsuse 1.p.	est	descrip
morph	KndPrSg2	tingiva kõneviisi oleviku ainsuse 2.p.	est	descrip
morph	KndPrPs	tingiva kõneviisi oleviku isikuline tegumood	est	descrip
morph	KndPrPl1	tingiva kõneviisi oleviku mitmuse 1.p.	est	descrip
morph	KndPrPl2	tingiva kõneviisi oleviku mitmuse 2.p.	est	descrip
morph	KndPrPl3	tingiva kõneviisi oleviku mitmuse 3.p.	est	descrip
morph	KndPrIps	tingiva kõneviisi oleviku umbisikuline tegumood	est	descrip
morph	KndPtSg1	tingiva kõneviisi mineviku ainsuse 1.p.	est	descrip
morph	KndPtSg2	tingiva kõneviisi mineviku ainsuse 2.p.	est	descrip
morph	KndPtPs	tingiva kõneviisi mineviku isikuline tegumood	est	descrip
morph	KndPtPl1	tingiva kõneviisi mineviku mitmuse 1.p.	est	descrip
morph	KndPtPl2	tingiva kõneviisi mineviku mitmuse 2.p.	est	descrip
morph	KndPtPl3	tingiva kõneviisi mineviku mitmuse 3.p.	est	descrip
morph	KndPtIps	tingiva kõneviisi mineviku umbisikuline tegumood	est	descrip
morph	KvtPrPs	kaudse kõneviisi oleviku isikuline tegumood	est	descrip
morph	KvtPrIps	kaudse kõneviisi oleviku umbisikuline tegumood	est	descrip
morph	KvtPtPs	kaudse kõneviisi mineviku isikuline tegumood	est	descrip
morph	KvtPtIps	kaudse kõneviisi mineviku umbisikuline tegumood	est	descrip
morph	ImpPrSg2	käskiva kõneviisi oleviku ainsuse 2.p.	est	descrip
morph	ImpPrPl1	käskiva kõneviisi oleviku mitmuse 1.p.	est	descrip
morph	ImpPrPl2	käskiva kõneviisi oleviku mitmuse 2.p.	est	descrip
morph	ImpPrPs	käskiva kõneviisi oleviku isikuline tegumood	est	descrip
morph	ImpPrIps	käskiva kõneviisi oleviku umbisikuline tegumood	est	descrip
morph	Neg	eitus (ei)	est	descrip
morph	ImpPrSg2N	käskiva kõneviisi oleviku ainsuse 2.p. eitus (ära)	est	descrip
morph	ImpPrPl1N	käskiva kõneviisi oleviku mitmuse 1.p. eitus (ärgem)	est	descrip
morph	ImpPrPl2N	käskiva kõneviisi oleviku mitmuse 2.p. eitus (ärge)	est	descrip
morph	ImpPrN	käskiva kõneviisi oleviku isikulise tegumoe eitus (ärgu)	est	descrip
morph	IndPrPsN	pole	est	descrip
morph	IndPrIpsN	polda	est	descrip
morph	IndIpfPsN	polnud	est	descrip
morph	IndIpfIpsN	poldud	est	descrip
morph	KvtPrPsN	polevat	est	descrip
morph	KvtPtPsN	polnuvat	est	descrip
morph	KndPrPsN	poleks	est	descrip
morph	KndPtPsN	polnuks	est	descrip
morph	SgAll	ainsuse alaleütlev	est	wordweb
morph	SgAbl	ainsuse alaltütlev	est	wordweb
morph	SgAd	ainsuse alalütlev	est	wordweb
morph	SgAb	ainsuse ilmaütlev	est	wordweb
morph	SgKom	ainsuse kaasaütlev	est	wordweb
morph	SgAdt	ainsuse lühike sisseütlev	est	wordweb
morph	SgN	ainsuse nimetav	est	wordweb
morph	SgEs	ainsuse olev	est	wordweb
morph	SgG	ainsuse omastav	est	wordweb
morph	SgP	ainsuse osastav	est	wordweb
morph	SgTer	ainsuse rajav	est	wordweb
morph	SgTr	ainsuse saav	est	wordweb
morph	SgEl	ainsuse seestütlev	est	wordweb
morph	SgIn	ainsuse seesütlev	est	wordweb
morph	SgIll	ainsuse sisseütlev	est	wordweb
morph	Inf	da-tegevusnimi	est	wordweb
morph	Neg	eitus (ei)	est	wordweb
morph	ImpPrSg2	käskiva kõneviisi oleviku ainsuse 2.p.	est	wordweb
morph	ImpPrSg2N	käskiva kõneviisi oleviku ainsuse 2.p. eitus (ära)	est	wordweb
morph	ImpPrPs	käskiva kõneviisi oleviku isikuline tegumood	est	wordweb
morph	ImpPrN	käskiva kõneviisi oleviku isikulise tegumoe eitus (ärgu)	est	wordweb
morph	ImpPrPl1	käskiva kõneviisi oleviku mitmuse 1.p.	est	wordweb
morph	ImpPrPl1N	käskiva kõneviisi oleviku mitmuse 1.p. eitus (ärgem)	est	wordweb
morph	ImpPrPl2	käskiva kõneviisi oleviku mitmuse 2.p.	est	wordweb
morph	ImpPrPl2N	käskiva kõneviisi oleviku mitmuse 2.p. eitus (ärge)	est	wordweb
morph	ImpPrIps	käskiva kõneviisi oleviku umbisikuline tegumood	est	wordweb
morph	KvtPtPs	kaudse kõneviisi mineviku isikuline tegumood	est	wordweb
morph	KvtPtIps	kaudse kõneviisi mineviku umbisikuline tegumood	est	wordweb
morph	KvtPrPs	kaudse kõneviisi oleviku isikuline tegumood	est	wordweb
morph	KvtPrIps	kaudse kõneviisi oleviku umbisikuline tegumood	est	wordweb
morph	IndIpfSg1	kindla kõneviisi lihtmineviku ainsuse 1.p.	est	wordweb
morph	IndIpfSg2	kindla kõneviisi lihtmineviku ainsuse 2.p.	est	wordweb
morph	IndIpfSg3	kindla kõneviisi lihtmineviku ainsuse 3.p.	est	wordweb
morph	IndIpfPl1	kindla kõneviisi lihtmineviku mitmuse 1.p.	est	wordweb
morph	IndIpfPl2	kindla kõneviisi lihtmineviku mitmuse 2.p.	est	wordweb
morph	IndIpfPl3	kindla kõneviisi lihtmineviku mitmuse 3.p.	est	wordweb
morph	IndIpfIps	kindla kõneviisi lihtmineviku umbisikuline tegumood	est	wordweb
morph	IndPrSg1	kindla kõneviisi oleviku ainsuse 1.pööre	est	wordweb
morph	IndPrSg2	kindla kõneviisi oleviku ainsuse 2.p.	est	wordweb
morph	IndPrSg3	kindla kõneviisi oleviku ainsuse 3.p.	est	wordweb
morph	IndPrPs_	kindla kõneviisi oleviku isikuline tegumood (eitusega)	est	wordweb
morph	IndPrPl1	kindla kõneviisi oleviku mitmuse 1.p.	est	wordweb
morph	IndPrPl2	kindla kõneviisi oleviku mitmuse 2.p.	est	wordweb
morph	IndPrPl3	kindla kõneviisi oleviku mitmuse 3.p.	est	wordweb
morph	IndPrIps	kindla kõneviisi oleviku umbisikuline tegumood	est	wordweb
morph	IndPrIps_	kindla kõneviisi oleviku umbisikuline tegumood (eitusega)	est	wordweb
morph	??	määramatu vorm	est	wordweb
morph	SupTr	maks-vorm	est	wordweb
morph	SupEl	mast-vorm	est	wordweb
morph	SupIn	mas-vorm	est	wordweb
morph	SupAb	mata-vorm	est	wordweb
morph	SupIps	ma-tegevusnime umbisikuline tegumood	est	wordweb
morph	Sup	ma-tegevusnimi	est	wordweb
morph	PlAll	mitmuse alaleütlev	est	wordweb
morph	PlAbl	mitmuse alaltütlev	est	wordweb
morph	PlAd	mitmuse alalütlev	est	wordweb
morph	PlAb	mitmuse ilmaütlev	est	wordweb
morph	PlKom	mitmuse kaasaütlev	est	wordweb
morph	PlAdt	mitmuse lühike sisseütlev	est	wordweb
morph	PlN	mitmuse nimetav	est	wordweb
morph	PlEs	mitmuse olev	est	wordweb
morph	PlG	mitmuse omastav	est	wordweb
morph	PlP	mitmuse osastav	est	wordweb
morph	PlTer	mitmuse rajav	est	wordweb
morph	PlTr	mitmuse saav	est	wordweb
morph	PlEl	mitmuse seestütlev	est	wordweb
morph	PlIn	mitmuse seesütlev	est	wordweb
morph	PlIll	mitmuse sisseütlev	est	wordweb
morph	ID	muutumatu	est	wordweb
morph	PtsPtPs	nud-kesksõna	est	wordweb
morph	IndPrIpsN	polda	est	wordweb
morph	IndIpfIpsN	poldud	est	wordweb
morph	IndPrPsN	pole	est	wordweb
morph	KndPrPsN	poleks	est	wordweb
morph	KvtPrPsN	polevat	est	wordweb
morph	IndIpfPsN	polnud	est	wordweb
morph	KndPtPsN	polnuks	est	wordweb
morph	KvtPtPsN	polnuvat	est	wordweb
morph	PtsPrIps	tav-kesksõna	est	wordweb
morph	KndPtSg1	tingiva kõneviisi mineviku ainsuse 1.p.	est	wordweb
morph	KndPtSg2	tingiva kõneviisi mineviku ainsuse 2.p.	est	wordweb
morph	KndPtPs	tingiva kõneviisi mineviku isikuline tegumood	est	wordweb
morph	KndPtPl1	tingiva kõneviisi mineviku mitmuse 1.p.	est	wordweb
morph	KndPtPl2	tingiva kõneviisi mineviku mitmuse 2.p.	est	wordweb
morph	KndPtPl3	tingiva kõneviisi mineviku mitmuse 3.p.	est	wordweb
morph	KndPtIps	tingiva kõneviisi mineviku umbisikuline tegumood	est	wordweb
morph	KndPrSg1	tingiva kõneviisi oleviku ainsuse 1.p.	est	wordweb
morph	KndPrSg2	tingiva kõneviisi oleviku ainsuse 2.p.	est	wordweb
morph	KndPrPs	tingiva kõneviisi oleviku isikuline tegumood	est	wordweb
morph	KndPrPl1	tingiva kõneviisi oleviku mitmuse 1.p.	est	wordweb
morph	KndPrPl2	tingiva kõneviisi oleviku mitmuse 2.p.	est	wordweb
morph	KndPrPl3	tingiva kõneviisi oleviku mitmuse 3.p.	est	wordweb
morph	KndPrIps	tingiva kõneviisi oleviku umbisikuline tegumood	est	wordweb
