EKI liik	EKI nimi	EKI kood	EKI väärtus	EKI keel	LEX nimi	LEX kood
liik_tyyp	liik_tyyp	l	abbreviation	en	lexeme_type	l
liik_tyyp	liik_tyyp	p	pärisnimi	et	lexeme_type	p
liik_tyyp	liik_tyyp	p	proper name	en	lexeme_type	p
liik_tyyp	liik_tyyp	z	tsitaatsõna	et	lexeme_type	z
liik_tyyp	liik_tyyp	z	loanword (alien)	en	lexeme_type	z
liik_tyyp	märksõna liik	mvv	viiteartikli märksõna	et	lexeme_type	viiteartikli märksõna
liik_tyyp	märksõna liik	yv	ühendverb	et	lexeme_type	ühendverb
liik_tyyp	märksõna liik	vv	väljendverb	et	lexeme_type	väljendverb
liik_tyyp	märksõna liik	av	ahelverb	et	lexeme_type	ahelverb
liik_tyyp	märksõna liik	tv	tugiverb	et	lexeme_type	tugiverb
liik_tyyp	märksõna liik	vlj	väljend	et	lexeme_type	väljend
liik_tyyp	märksõna liik	ys	ühendsidesõna (nii et)	et	lexeme_type	ühendsidesõna
liik_tyyp	märksõna liik	rs	rühmsidesõna (ei .. ega)	et	lexeme_type	rühmsidesõna
mt_tyyp	mt_tyyp	img	pilt	et	-	-
mt_tyyp	mt_tyyp	img	picture	en	-	-
mt_tyyp	mt_tyyp	imgA	link pildile	et	-	-
mt_tyyp	mt_tyyp	imgA	picture link	en	-	-
mt_tyyp	mt_tyyp	f?v	Flash video	et	-	-
mt_tyyp	mt_tyyp	f?v	Flash video	en	-	-
mt_tyyp	mt_tyyp	snd	heli	et	-	-
mt_tyyp	mt_tyyp	snd	sound	en	-	-
mvtl_tyyp	mvtl_tyyp	adv	adverbiviide	et	-	-
mvtl_tyyp	mvtl_tyyp	adv	cross-reference (from adverb)	en	-	-
mvtl_tyyp	mvtl_tyyp	gr	vormiviide	et	-	-
mvtl_tyyp	mvtl_tyyp	gr	cross-reference (from inflectional form)	en	-	-
mvtl_tyyp	märksõnaviide	cmp	võrdlusvormi viide	et	-	-
mvtl_tyyp	märksõnaviide	var	variandiviide	et	-	-
mõistetüüp	Mõistetüüp	termin	termin	et	meaning_type	termin
mõistetüüp	Mõistetüüp	tõlkeprobleem	tõlkeprobleem	et	meaning_type	tõlkeprobleem
mõistetüüp	Mõistetüüp	ametinimetus	ametinimetus	et	meaning_type	ametinimetus
mõistetüüp	Mõistetüüp	organisatsioon, asutus	organisatsioon, asutus	et	meaning_type	organisatsioon, asutus
mõistetüüp	Mõistetüüp	õigusakti pealkiri	õigusakti pealkiri	et	meaning_type	õigusakti pealkiri
mõistetüüp	Mõistetüüp	dokumendi pealkiri	dokumendi pealkiri	et	meaning_type	dokumendi pealkiri
pvtl_tyyp	pvtl_tyyp	vp	vaata pilti	et	-	-
pvtl_tyyp	pvtl_tyyp	vpl	vaata piltide lehte	et	-	-
pvtl_tyyp	pvtl_tyyp	vqp	vaata kaarti lk	et	-	-
rliik_tyyp	rliik_tyyp	obj	objektirektsioon	et	rection_type	obj
rliik_tyyp	rliik_tyyp	kn	käänderektsioon	et	rection_type	kn
rliik_tyyp	rliik_tyyp	ks	kaassõnarektsioon	et	rection_type	ks
rliik_tyyp	rliik_tyyp	yld	üldrektsioon	et	rection_type	yld
rliik_tyyp	rliik_tyyp	inf	infinitiivirektsioon	et	rection_type	inf
rliik_tyyp	rliik_tyyp	kla	lausungirektsioon	et	rection_type	kla
rliik_tyyp	rliik_tyyp	subj	subjektirektsioon	et	rection_type	subj
sag_tyyp	sagedusrühm	1	1 - 3000	et	lexeme_frequency	1
sag_tyyp	sagedusrühm	2	2 - 3000-6000	et	lexeme_frequency	2
sag_tyyp	sagedusrühm	3	3 - 6000-10000	et	lexeme_frequency	3
sag_tyyp	sagedusrühm	4	4 - pole sag_S-s	et	lexeme_frequency	4
sag_tyyp	sagedusrühm	L2	L2 - 3000-6000 (lisatud)	et	lexeme_frequency	L2
sag_tyyp	sagedusrühm	L3	L3 - 6000-10000 (lisatud)	et	lexeme_frequency	L3
sag_tyyp	sagedusrühm	L4	L4 - pole sag_S-s (lisatud)	et	lexeme_frequency	L4
sl_tyyp	sõnaliik	A	A	et	pos	adj
sl_tyyp	sõnaliik	A	adjektiiv, omadussõna	et	pos	adj
sl_tyyp	sõnaliik	A	adjective	en	pos	adj
sl_tyyp	sõnaliik	D	D	et	pos	adv
sl_tyyp	sõnaliik	D	adverb, määrsõna	et	pos	adv
sl_tyyp	sõnaliik	D	adverb	en	pos	adv
sl_tyyp	sõnaliik	G	G	et	pos	adjg
sl_tyyp	sõnaliik	G	genitiivatribuut, omastavaline täiend	et	pos	adjg
sl_tyyp	sõnaliik	G	attribute in genitive	en	pos	adjg
sl_tyyp	sõnaliik	H	H	et	pos	prop
sl_tyyp	sõnaliik	H	prooprium, pärisnimi	et	pos	prop
sl_tyyp	sõnaliik	H	proper noun	en	pos	prop
sl_tyyp	sõnaliik	I	I	et	pos	interj
sl_tyyp	sõnaliik	I	interjektsioon, hüüdsõna	et	pos	interj
sl_tyyp	sõnaliik	I	interjection	en	pos	interj
sl_tyyp	sõnaliik	J	J	et	pos	konj
sl_tyyp	sõnaliik	J	konjunktsioon, sidesõna	et	pos	konj
sl_tyyp	sõnaliik	J	conjunction	en	pos	konj
sl_tyyp	sõnaliik	K	K	et	pos	adp
sl_tyyp	sõnaliik	K	adpositsioon, kaassõna	et	pos	adp
sl_tyyp	sõnaliik	K	postposition, preposition	en	pos	adp
sl_tyyp	sõnaliik	N	N	et	pos	num
sl_tyyp	sõnaliik	N	numeraal, arvsõna	et	pos	num
sl_tyyp	sõnaliik	N	cardinal, numeral	en	pos	num
sl_tyyp	sõnaliik	O	O	et	pos	ord
sl_tyyp	sõnaliik	O	ordinaal, järgarvsõna	et	pos	ord
