adj	-	adjektiiv, omadussõna
adv	-	adverb, määrsõna
indekl adj	-	käändumatu omadussõna
indekl pron	-	käändumatu asesõna
interj	-	interjektsioon, hüüdsõna
konj	-	konjunktsioon, sidesõna
num	-	numeraal, arvsõna
postp	-	postpositsioon, tagasõna
prep	-	prepositsioon, eessõna
pron	-	pronoomen, asesõna
s	-	substantiiv, nimisõna
v	-	verb, tegusõna
adjg	-	genitiivatribuut, omastavaline täiend
