adj	-	adjective
adv	-	adverb
indekl adj	-	indeclinable adjective
indekl pron	-	indeclinable pronoun
interj	-	interjection
konj	-	conjunction
num	-	numeral
postp	-	postposition
prep	-	preposition
pron	-	pronoun
s	-	substantive
v	-	verb
